match_id,batsman,runs_scored,balls_faced,strike_rate,venue,venue_avg,career_avg,last5_avg
598036,AB de Villiers,21,13.0,161.53846153846155,Sawai Mansingh Stadium,19.84241531664212,25.517241379310345,31.2
598042,AB de Villiers,50,23.0,217.39130434782606,Subrata Roy Sahara Stadium,17.75206611570248,25.440677966101696,22.6
598045,AB de Villiers,6,2.0,300.0,M Chinnaswamy Stadium,19.957247132429615,25.85,22.2
598048,AB de Villiers,15,15.0,100.0,M Chinnaswamy Stadium,19.957247132429615,25.524590163934427,22.0
598054,AB de Villiers,32,17.0,188.23529411764704,Feroz Shah Kotla,19.530133928571427,25.35483870967742,18.8
598057,AB de Villiers,28,22.0,127.27272727272727,JSCA International Stadium Complex,18.807692307692307,25.46031746031746,24.8
598064,AB de Villiers,38,19.0,200.0,"Punjab Cricket Association Stadium, Mohali",19.662264150943397,25.5,26.2
598068,AB de Villiers,5,3.0,166.66666666666669,M Chinnaswamy Stadium,19.957247132429615,25.692307692307693,23.8
729287,AB de Villiers,45,48.0,93.75,Dubai International Cricket Stadium,20.10672514619883,25.37878787878788,23.6
729299,AB de Villiers,11,12.0,91.66666666666666,Sharjah Cricket Stadium,19.61298076923077,25.671641791044777,29.6
729305,AB de Villiers,0,1.0,0.0,Sheikh Zayed Stadium,20.11163895486936,25.455882352941178,25.4
729313,AB de Villiers,17,15.0,113.33333333333333,Dubai International Cricket Stadium,20.10672514619883,25.08695652173913,19.8
733977,AB de Villiers,89,41.0,217.07317073170734,M Chinnaswamy Stadium,19.957247132429615,24.97142857142857,15.6
733983,AB de Villiers,9,7.0,128.57142857142858,Wankhede Stadium,19.74621549421193,25.87323943661972,32.4
733991,AB de Villiers,53,26.0,203.84615384615384,M Chinnaswamy Stadium,19.957247132429615,25.63888888888889,25.2
733999,AB de Villiers,58,32.0,181.25,M Chinnaswamy Stadium,19.957247132429615,26.013698630136986,33.6
734005,AB de Villiers,33,17.0,194.11764705882354,M Chinnaswamy Stadium,19.957247132429615,26.445945945945947,45.2
734013,AB de Villiers,28,14.0,200.0,JSCA International Stadium Complex,18.807692307692307,26.533333333333335,48.4
734021,AB de Villiers,29,17.0,170.58823529411765,"Rajiv Gandhi International Stadium, Uppal",19.61134163208852,26.55263157894737,36.2
734027,AB de Villiers,13,13.0,100.0,Eden Gardens,19.843501326259947,26.584415584415584,40.2
734035,AB de Villiers,10,6.0,166.66666666666669,M Chinnaswamy Stadium,19.957247132429615,26.41025641025641,32.2
829713,AB de Villiers,28,13.0,215.3846153846154,Eden Gardens,19.843501326259947,26.20253164556962,22.6
829719,AB de Villiers,46,28.0,164.28571428571428,M Chinnaswamy Stadium,19.957247132429615,26.225,21.6
829737,AB de Villiers,41,11.0,372.7272727272727,M Chinnaswamy Stadium,19.957247132429615,26.469135802469136,25.2
829745,AB de Villiers,14,10.0,140.0,M Chinnaswamy Stadium,19.957247132429615,26.646341463414632,27.6
829749,AB de Villiers,47,34.0,138.23529411764704,"Sardar Patel Stadium, Motera",19.612021857923498,26.49397590361446,27.8
829763,AB de Villiers,57,45.0,126.66666666666666,M Chinnaswamy Stadium,19.957247132429615,26.738095238095237,35.2
829771,AB de Villiers,2,4.0,50.0,M Chinnaswamy Stadium,19.957247132429615,27.094117647058823,41.0
